vintage_quarter,vintage_month,accounts,matured_accounts,bad_accounts,ead,expected_loss,avg_pd,avg_score,avg_fico,avg_dti,high_dti_share,vintage_bad_rate,el_rate,maturity_status
2016Q2,2016-04,24099,24099,6171,346331700,27582371.078019306,0.20467694596671185,486.41086011198627,698.2843064027553,18.996030955641313,0.1329100792564007,0.25606871654425495,0.07964148554122913,Matured outcome usable
2016Q2,2016-05,18106,18106,4739,260701050,21369745.527443107,0.20868168186884412,484.44921181566065,696.7394510107147,19.490748923008947,0.1415000552303104,0.26173644095879817,0.08197030862531282,Matured outcome usable
2016Q2,2016-06,20732,20732,5040,301644875,23668127.246190336,0.1992174322092761,488.60390190188764,698.6637565116728,18.118136696893693,0.09497395330889447,0.24310245031834846,0.07846354839010719,Matured outcome usable
2016Q3,2016-07,21724,21724,5781,303343250,24750740.129069395,0.20433042843901658,486.06303380550924,695.8455855275272,17.844316424231266,0.0792671699502854,0.26611121340452953,0.0815931791100326,Matured outcome usable
2016Q3,2016-08,22258,22258,5822,315721775,25780882.26006229,0.20401831663263556,486.0614230135174,695.3464596998832,17.86191796208105,0.07547847964776709,0.2615688741126786,0.08165696604252998,Matured outcome usable
2016Q3,2016-09,16906,16906,4202,237475225,18952557.80530131,0.20095182406745243,487.7778581037868,697.3848337868212,17.8523050987815,0.07819708979060688,0.24855081036318466,0.07980856868459145,Matured outcome usable
2016Q4,2016-10,18952,18952,4253,263994450,20916472.45844201,0.2008542778851579,487.80686490615835,698.2405287040946,18.518860806247364,0.09038623891937526,0.22440903334740397,0.07923072798856949,Matured outcome usable
2016Q4,2016-11,18994,18994,4610,266302450,21422030.30684228,0.2030708354517035,486.57516644756805,696.6999842055386,18.699234495103717,0.08939665157418132,0.24270822364957356,0.08044248299947025,Matured outcome usable
2016Q4,2016-12,19366,19366,4827,269818750,22096102.83868687,0.20533591762773729,485.81481454672115,696.5404833212847,18.830097593720954,0.09743881028606836,0.24925126510379014,0.08189239198049382,Matured outcome usable
2017Q1,2017-01,16391,16391,3718,237662150,18892799.57472381,0.2006212076238986,488.0706630122272,698.2876273564762,18.53853517174059,0.09413702641693612,0.22683179793789274,0.07949435606268734,Matured outcome usable
2017Q1,2017-02,13466,13466,3127,197256375,15673361.252217,0.20032807109530887,488.1518195426574,698.3085548789544,18.361954552205553,0.0867369671765929,0.23221446606267637,0.0794568046392265,Matured outcome usable
2017Q1,2017-03,17001,17001,3900,245448200,19260977.992604684,0.19825721534553536,489.1480314753004,699.1180224692665,18.436240221163462,0.08587730133521558,0.2293982706899594,0.07847267974507323,Matured outcome usable
2017Q2,2017-04,13095,13095,3117,188134125,14746976.92884103,0.19813924213873477,489.3956236900076,699.7980526918672,18.869050019091254,0.09873997709049255,0.23802978235967925,0.07838544404871275,Matured outcome usable
2017Q2,2017-05,16143,16143,3866,227207000,17917945.090842824,0.19946847397039483,488.7807230395092,699.0473889611596,18.85876231183795,0.09713188378863905,0.23948460633091742,0.0788617652222107,Matured outcome usable
2017Q2,2017-06,15218,15218,3598,213609875,16623462.423642755,0.19689567075197273,489.9509883218797,700.3839203574714,18.477178998554344,0.09409909317912998,0.23643054277828887,0.0778216008208551,Matured outcome usable
